Year,Cuat,tasa.paro,Genero,prov,Provincias
2011,1,10.792349726776,Mujeres,01,Araba/Álava
2011,2,9.34844192634561,Mujeres,01,Araba/Álava
2011,3,10.9530583214794,Mujeres,01,Araba/Álava
2011,4,12.9166666666667,Mujeres,01,Araba/Álava
2012,1,16.2589928057554,Mujeres,01,Araba/Álava
2012,2,14.7426981919332,Mujeres,01,Araba/Álava
2012,3,15.7608695652174,Mujeres,01,Araba/Álava
2012,4,18.75,Mujeres,01,Araba/Álava
2013,1,18.0836707152497,Mujeres,01,Araba/Álava
2013,2,16.1073825503356,Mujeres,01,Araba/Álava
2013,3,16.914749661705,Mujeres,01,Araba/Álava
2013,4,17.6781002638522,Mujeres,01,Araba/Álava
2014,1,20,Mujeres,01,Araba/Álava
2014,2,16.9712793733682,Mujeres,01,Araba/Álava
2014,3,19.2982456140351,Mujeres,01,Araba/Álava
2014,4,18.4516129032258,Mujeres,01,Araba/Álava
2011,1,26.6044340723454,Mujeres,02,Albacete
2011,2,27.7840269966254,Mujeres,02,Albacete
2011,3,27.3340832395951,Mujeres,02,Albacete
2011,4,26.9144144144144,Mujeres,02,Albacete
2012,1,33.1073446327684,Mujeres,02,Albacete
2012,2,37.8571428571429,Mujeres,02,Albacete
2012,3,36.3522012578616,Mujeres,02,Albacete
2012,4,41.1622276029056,Mujeres,02,Albacete
2013,1,37.0720188902007,Mujeres,02,Albacete
2013,2,33.2941176470588,Mujeres,02,Albacete
2013,3,34.4827586206897,Mujeres,02,Albacete
2013,4,33.8842975206612,Mujeres,02,Albacete
2014,1,27.3153575615475,Mujeres,02,Albacete
2014,2,25.5924170616114,Mujeres,02,Albacete
2014,3,27.8313253012048,Mujeres,02,Albacete
2014,4,31.497005988024,Mujeres,02,Albacete
2011,1,22.4186523187292,Mujeres,03,Alicante/Alacant
2011,2,22.0317620368036,Mujeres,03,Alicante/Alacant
2011,3,25.2873563218391,Mujeres,03,Alicante/Alacant
2011,4,25.7617728531856,Mujeres,03,Alicante/Alacant
2012,1,29.7119757453259,Mujeres,03,Alicante/Alacant
2012,2,27.5730622617535,Mujeres,03,Alicante/Alacant
2012,3,28.8968518044535,Mujeres,03,Alicante/Alacant
2012,4,30.4324754576811,Mujeres,03,Alicante/Alacant
2013,1,32.7695026508458,Mujeres,03,Alicante/Alacant
2013,2,31.4810158410863,Mujeres,03,Alicante/Alacant
2013,3,29.6360485268631,Mujeres,03,Alicante/Alacant
2013,4,33.3170493404983,Mujeres,03,Alicante/Alacant
2014,1,31.270116365437,Mujeres,03,Alicante/Alacant
2014,2,27.3780187284377,Mujeres,03,Alicante/Alacant
2014,3,25.9462151394422,Mujeres,03,Alicante/Alacant
2014,4,26.1349385502884,Mujeres,03,Alicante/Alacant
2011,1,32.6850690087829,Mujeres,04,Almería
2011,2,38.4313725490196,Mujeres,04,Almería
2011,3,37.2990353697749,Mujeres,04,Almería
2011,4,32.3289391086001,Mujeres,04,Almería
2012,1,32.8692493946731,Mujeres,04,Almería
2012,2,34.6547314578005,Mujeres,04,Almería
2012,3,37.1518987341772,Mujeres,04,Almería
2012,4,36.7704280155642,Mujeres,04,Almería
2013,1,35.4858934169279,Mujeres,04,Almería
2013,2,34.8436502871729,Mujeres,04,Almería
2013,3,41.1440385940731,Mujeres,04,Almería
2013,4,38.1948986265533,Mujeres,04,Almería
2014,1,34.1100323624596,Mujeres,04,Almería
2014,2,41.1067193675889,Mujeres,04,Almería
2014,3,41.4814814814815,Mujeres,04,Almería
2014,4,38.5750962772786,Mujeres,04,Almería
2011,1,28.4789644012945,Mujeres,05,Ávila
2011,2,23.5668789808917,Mujeres,05,Ávila
2011,3,24.7648902821317,Mujeres,05,Ávila
2011,4,24.5283018867925,Mujeres,05,Ávila
2012,1,26.984126984127,Mujeres,05,Ávila
2012,2,27.9503105590062,Mujeres,05,Ávila
2012,3,26.219512195122,Mujeres,05,Ávila
2012,4,25.0793650793651,Mujeres,05,Ávila
2013,1,30.7926829268293,Mujeres,05,Ávila
2013,2,29.073482428115,Mujeres,05,Ávila
2013,3,27.6595744680851,Mujeres,05,Ávila
2013,4,28.3536585365854,Mujeres,05,Ávila
2014,1,34.0557275541796,Mujeres,05,Ávila
2014,2,31.0344827586207,Mujeres,05,Ávila
2014,3,26.9230769230769,Mujeres,05,Ávila
2014,4,27.6190476190476,Mujeres,05,Ávila
2011,1,31.057268722467,Mujeres,06,Badajoz
2011,2,29.4545454545455,Mujeres,06,Badajoz
2011,3,28.9156626506024,Mujeres,06,Badajoz
2011,4,35.9030837004405,Mujeres,06,Badajoz
2012,1,35.5195283714075,Mujeres,06,Badajoz
2012,2,39.6268656716418,Mujeres,06,Badajoz
2012,3,37.0264474624732,Mujeres,06,Badajoz
2012,4,39.8224043715847,Mujeres,06,Badajoz
2013,1,36.8384879725086,Mujeres,06,Badajoz
2013,2,36.8275862068966,Mujeres,06,Badajoz
2013,3,36.1285814116003,Mujeres,06,Badajoz
2013,4,37.6577840112202,Mujeres,06,Badajoz
2014,1,37.3913043478261,Mujeres,06,Badajoz
2014,2,35.5620867009552,Mujeres,06,Badajoz
2014,3,34.6637102734664,Mujeres,06,Badajoz
2014,4,34.9344978165939,Mujeres,06,Badajoz
2011,1,26.4201296225696,Mujeres,07,"Balears, Illes"
2011,2,18.5457216305545,Mujeres,07,"Balears, Illes"
2011,3,15.6195156195156,Mujeres,07,"Balears, Illes"
2011,4,25.1326762699014,Mujeres,07,"Balears, Illes"
2012,1,29.0025763709974,Mujeres,07,"Balears, Illes"
2012,2,23.2204561161023,Mujeres,07,"Balears, Illes"
2012,3,20.1016949152542,Mujeres,07,"Balears, Illes"
2012,4,24.3351548269581,Mujeres,07,"Balears, Illes"
2013,1,29.1911764705882,Mujeres,07,"Balears, Illes"
2013,2,21.8782249742002,Mujeres,07,"Balears, Illes"
2013,3,16.2927166033828,Mujeres,07,"Balears, Illes"
2013,4,20.7132018209408,Mujeres,07,"Balears, Illes"
2014,1,25.1729438893159,Mujeres,07,"Balears, Illes"
2014,2,17.2740014015417,Mujeres,07,"Balears, Illes"
2014,3,14.0705237932215,Mujeres,07,"Balears, Illes"
2014,4,17.6623376623377,Mujeres,07,"Balears, Illes"
2011,1,17.9764390098419,Mujeres,08,Barcelona
2011,2,16.9734904270987,Mujeres,08,Barcelona
2011,3,18.1063000808645,Mujeres,08,Barcelona
2011,4,19.4641275465013,Mujeres,08,Barcelona
2012,1,21.121919110656,Mujeres,08,Barcelona
2012,2,20.0566234540307,Mujeres,08,Barcelona
2012,3,22.3543489641762,Mujeres,08,Barcelona
2012,4,22.9510624120826,Mujeres,08,Barcelona
2013,1,23.3884174482656,Mujeres,08,Barcelona
2013,2,23.335843373494,Mujeres,08,Barcelona
2013,3,22.2644886999329,Mujeres,08,Barcelona
2013,4,20.9624553039333,Mujeres,08,Barcelona
2014,1,20.2033697023677,Mujeres,08,Barcelona
2014,2,19.617046639845,Mujeres,08,Barcelona
2014,3,19.4741600120536,Mujeres,08,Barcelona
2014,4,19.0529875986471,Mujeres,08,Barcelona
2011,1,18.8423645320197,Mujeres,09,Burgos
2011,2,14.8427672955975,Mujeres,09,Burgos
2011,3,12.5490196078431,Mujeres,09,Burgos
2011,4,16.6666666666667,Mujeres,09,Burgos
2012,1,20.6806282722513,Mujeres,09,Burgos
2012,2,23.7611181702668,Mujeres,09,Burgos
2012,3,20.3346203346203,Mujeres,09,Burgos
2012,4,21.0182767624021,Mujeres,09,Burgos
2013,1,24.4274809160305,Mujeres,09,Burgos
2013,2,25.9020618556701,Mujeres,09,Burgos
2013,3,22.5316455696203,Mujeres,09,Burgos
2013,4,21.8670076726343,Mujeres,09,Burgos
2014,1,22.9567307692308,Mujeres,09,Burgos
2014,2,19.0886699507389,Mujeres,09,Burgos
2014,3,19.4029850746269,Mujeres,09,Burgos
2014,4,19.7253433208489,Mujeres,09,Burgos
2011,1,22.8723404255319,Mujeres,10,Cáceres
2011,2,19.562243502052,Mujeres,10,Cáceres
2011,3,19.9460916442049,Mujeres,10,Cáceres
2011,4,24.025974025974,Mujeres,10,Cáceres
2012,1,32.1148825065274,Mujeres,10,Cáceres
2012,2,31.8652849740933,Mujeres,10,Cáceres
2012,3,34.0269277845777,Mujeres,10,Cáceres
2012,4,31.8987341772152,Mujeres,10,Cáceres
2013,1,35.7055214723926,Mujeres,10,Cáceres
2013,2,34.803337306317,Mujeres,10,Cáceres
2013,3,33.4098737083812,Mujeres,10,Cáceres
2013,4,33.1724969843185,Mujeres,10,Cáceres
2014,1,29.2623941958888,Mujeres,10,Cáceres
2014,2,27.1393643031785,Mujeres,10,Cáceres
2014,3,28.7558685446009,Mujeres,10,Cáceres
2014,4,31.0096153846154,Mujeres,10,Cáceres
2011,1,35.0430857611818,Mujeres,11,Cádiz
2011,2,33.0505050505051,Mujeres,11,Cádiz
2011,3,33.0508474576271,Mujeres,11,Cádiz
2011,4,37.4094931617056,Mujeres,11,Cádiz
2012,1,39.7000789265983,Mujeres,11,Cádiz
2012,2,35.0624024960999,Mujeres,11,Cádiz
2012,3,36.0135900339751,Mujeres,11,Cádiz
2012,4,44.6620583717358,Mujeres,11,Cádiz
2013,1,44.488188976378,Mujeres,11,Cádiz
2013,2,42.9400386847195,Mujeres,11,Cádiz
2013,3,40.7755581668625,Mujeres,11,Cádiz
2013,4,44.9824287387739,Mujeres,11,Cádiz
2014,1,46.121513183034,Mujeres,11,Cádiz
2014,2,45.4785229841748,Mujeres,11,Cádiz
2014,3,42.4606151537884,Mujeres,11,Cádiz
2014,4,45.2231793265466,Mujeres,11,Cádiz
2011,1,26.2395118230359,Mujeres,12,Castellón/Castelló
2011,2,26.2914417887433,Mujeres,12,Castellón/Castelló
2011,3,25.989138867339,Mujeres,12,Castellón/Castelló
2011,4,24.7889485801995,Mujeres,12,Castellón/Castelló
2012,1,25.2738654147105,Mujeres,12,Castellón/Castelló
2012,2,25.253312548714,Mujeres,12,Castellón/Castelló
2012,3,27.3010920436818,Mujeres,12,Castellón/Castelló
2012,4,28.3434650455927,Mujeres,12,Castellón/Castelló
2013,1,31.6030534351145,Mujeres,12,Castellón/Castelló
2013,2,32.4901185770751,Mujeres,12,Castellón/Castelló
2013,3,30.3585049580473,Mujeres,12,Castellón/Castelló
2013,4,27.4119448698315,Mujeres,12,Castellón/Castelló
2014,1,29.9772899318698,Mujeres,12,Castellón/Castelló
2014,2,29.7527047913447,Mujeres,12,Castellón/Castelló
2014,3,30.078125,Mujeres,12,Castellón/Castelló
2014,4,25.7099002302379,Mujeres,12,Castellón/Castelló
2011,1,28.5714285714286,Mujeres,13,Ciudad Real
2011,2,28.2,Mujeres,13,Ciudad Real
2011,3,27.6073619631902,Mujeres,13,Ciudad Real
2011,4,30.8666017526777,Mujeres,13,Ciudad Real
2012,1,34.7740667976424,Mujeres,13,Ciudad Real
2012,2,36.9094488188976,Mujeres,13,Ciudad Real
2012,3,33.3333333333333,Mujeres,13,Ciudad Real
2012,4,35.5983772819473,Mujeres,13,Ciudad Real
2013,1,38.7128712871287,Mujeres,13,Ciudad Real
2013,2,38.3043922369765,Mujeres,13,Ciudad Real
2013,3,34.6456692913386,Mujeres,13,Ciudad Real
2013,4,36.2658846529814,Mujeres,13,Ciudad Real
2014,1,39.4610202117421,Mujeres,13,Ciudad Real
2014,2,39.083820662768,Mujeres,13,Ciudad Real
2014,3,37.5,Mujeres,13,Ciudad Real
2014,4,38.0859375,Mujeres,13,Ciudad Real
2011,1,31.2865497076023,Mujeres,14,Córdoba
2011,2,35.0664355863663,Mujeres,14,Córdoba
2011,3,35.9234907352062,Mujeres,14,Córdoba
2011,4,34.7254004576659,Mujeres,14,Córdoba
2012,1,37.2537985368599,Mujeres,14,Córdoba
2012,2,35.6253704801423,Mujeres,14,Córdoba
2012,3,41.8808411214953,Mujeres,14,Córdoba
2012,4,40.4886561954625,Mujeres,14,Córdoba
2013,1,37.1260997067449,Mujeres,14,Córdoba
2013,2,37.4634716540035,Mujeres,14,Córdoba
2013,3,40.7942238267148,Mujeres,14,Córdoba
2013,4,41.4930555555556,Mujeres,14,Córdoba
2014,1,33.8892197736748,Mujeres,14,Córdoba
2014,2,36.5883807169345,Mujeres,14,Córdoba
2014,3,38.6392009987516,Mujeres,14,Córdoba
2014,4,39.122703023118,Mujeres,14,Córdoba
2011,1,16.4425662696888,Mujeres,15,"Coruña, A"
2011,2,17.5452096960369,Mujeres,15,"Coruña, A"
2011,3,16.769468003084,Mujeres,15,"Coruña, A"
2011,4,16.296575084682,Mujeres,15,"Coruña, A"
2012,1,16.8903803131991,Mujeres,15,"Coruña, A"
2012,2,17.3312883435583,Mujeres,15,"Coruña, A"
2012,3,17.463933181473,Mujeres,15,"Coruña, A"
2012,4,19.9321778447626,Mujeres,15,"Coruña, A"
2013,1,20.4238921001927,Mujeres,15,"Coruña, A"
2013,2,20.3448275862069,Mujeres,15,"Coruña, A"
2013,3,19.5694716242661,Mujeres,15,"Coruña, A"
2013,4,18.6118650639783,Mujeres,15,"Coruña, A"
2014,1,20.4809930178433,Mujeres,15,"Coruña, A"
2014,2,20.3924586379377,Mujeres,15,"Coruña, A"
2014,3,18.6236391912908,Mujeres,15,"Coruña, A"
2014,4,17.9881656804734,Mujeres,15,"Coruña, A"
2011,1,19.9453551912568,Mujeres,16,Cuenca
2011,2,18.5483870967742,Mujeres,16,Cuenca
2011,3,21.957671957672,Mujeres,16,Cuenca
2011,4,18.9473684210526,Mujeres,16,Cuenca
2012,1,27.0408163265306,Mujeres,16,Cuenca
2012,2,24.9343832020997,Mujeres,16,Cuenca
2012,3,27.012987012987,Mujeres,16,Cuenca
2012,4,28.9189189189189,Mujeres,16,Cuenca
2013,1,32.1525885558583,Mujeres,16,Cuenca
2013,2,30.2872062663185,Mujeres,16,Cuenca
2013,3,35.3233830845771,Mujeres,16,Cuenca
2013,4,26.75,Mujeres,16,Cuenca
2014,1,29.925187032419,Mujeres,16,Cuenca
2014,2,29.6482412060302,Mujeres,16,Cuenca
2014,3,32.4324324324324,Mujeres,16,Cuenca
2014,4,30.5039787798409,Mujeres,16,Cuenca
2011,1,21.3757816941444,Mujeres,17,Girona
2011,2,21.8970189701897,Mujeres,17,Girona
2011,3,20.5100956429331,Mujeres,17,Girona
2011,4,22.7014755959137,Mujeres,17,Girona
2012,1,24.7359644246804,Mujeres,17,Girona
2012,2,25.148407987048,Mujeres,17,Girona
2012,3,19.8030634573304,Mujeres,17,Girona
2012,4,21.4523281596452,Mujeres,17,Girona
2013,1,21.5497737556561,Mujeres,17,Girona
2013,2,20.7177814029364,Mujeres,17,Girona
2013,3,18.8729399255715,Mujeres,17,Girona
2013,4,21.6022099447514,Mujeres,17,Girona
2014,1,23.5261401557286,Mujeres,17,Girona
2014,2,21.8612334801762,Mujeres,17,Girona
2014,3,19.90022172949,Mujeres,17,Girona
2014,4,22.2222222222222,Mujeres,17,Girona
2011,1,28.4806776071996,Mujeres,18,Granada
2011,2,30.4949441192123,Mujeres,18,Granada
2011,3,32.0485744456177,Mujeres,18,Granada
2011,4,31.5989159891599,Mujeres,18,Granada
2012,1,34.7103004291846,Mujeres,18,Granada
2012,2,37.75,Mujeres,18,Granada
2012,3,36.1923648983639,Mujeres,18,Granada
2012,4,37.6705653021443,Mujeres,18,Granada
2013,1,37.720156555773,Mujeres,18,Granada
2013,2,36.9950738916256,Mujeres,18,Granada
2013,3,39.2411143131604,Mujeres,18,Granada
2013,4,39.2555831265509,Mujeres,18,Granada
2014,1,39.1898734177215,Mujeres,18,Granada
2014,2,38.8665997993982,Mujeres,18,Granada
2014,3,39.3774703557312,Mujeres,18,Granada
2014,4,38.3773021403683,Mujeres,18,Granada
2011,1,18.4534270650264,Mujeres,19,Guadalajara
2011,2,23.943661971831,Mujeres,19,Guadalajara
2011,3,17.2727272727273,Mujeres,19,Guadalajara
2011,4,23.2876712328767,Mujeres,19,Guadalajara
2012,1,18.5185185185185,Mujeres,19,Guadalajara
2012,2,23.2597623089983,Mujeres,19,Guadalajara
2012,3,23.9583333333333,Mujeres,19,Guadalajara
2012,4,29.0791599353797,Mujeres,19,Guadalajara
2013,1,28.5251215559157,Mujeres,19,Guadalajara
2013,2,24.1830065359477,Mujeres,19,Guadalajara
2013,3,19.6836555360281,Mujeres,19,Guadalajara
2013,4,23.6842105263158,Mujeres,19,Guadalajara
2014,1,23.1028667790894,Mujeres,19,Guadalajara
2014,2,27.6143790849673,Mujeres,19,Guadalajara
2014,3,23.4113712374582,Mujeres,19,Guadalajara
2014,4,24.6688741721854,Mujeres,19,Guadalajara
2011,1,10.2342786683107,Mujeres,20,Gipuzkoa
2011,2,12.484700122399,Mujeres,20,Gipuzkoa
2011,3,14.6625766871166,Mujeres,20,Gipuzkoa
2011,4,12.7061698228467,Mujeres,20,Gipuzkoa
2012,1,13.0597014925373,Mujeres,20,Gipuzkoa
2012,2,14.7258163894023,Mujeres,20,Gipuzkoa
2012,3,13.9855548260013,Mujeres,20,Gipuzkoa
2012,4,14.4005358338915,Mujeres,20,Gipuzkoa
2013,1,14.6074646074646,Mujeres,20,Gipuzkoa
2013,2,14.6718146718147,Mujeres,20,Gipuzkoa
2013,3,14.9664429530201,Mujeres,20,Gipuzkoa
2013,4,15.1750972762646,Mujeres,20,Gipuzkoa
2014,1,14.4554455445545,Mujeres,20,Gipuzkoa
2014,2,14.8463047743623,Mujeres,20,Gipuzkoa
2014,3,13.4397870924817,Mujeres,20,Gipuzkoa
2014,4,14.0694006309148,Mujeres,20,Gipuzkoa
2011,1,35.5887521968366,Mujeres,21,Huelva
2011,2,24.777183600713,Mujeres,21,Huelva
2011,3,31.6620241411328,Mujeres,21,Huelva
2011,4,37.5,Mujeres,21,Huelva
2012,1,31.1461067366579,Mujeres,21,Huelva
2012,2,29.7661870503597,Mujeres,21,Huelva
2012,3,35.1072961373391,Mujeres,21,Huelva
2012,4,38.5407725321888,Mujeres,21,Huelva
2013,1,43.1978798586573,Mujeres,21,Huelva
2013,2,36.1111111111111,Mujeres,21,Huelva
2013,3,38.2841328413284,Mujeres,21,Huelva
2013,4,33.0404217926186,Mujeres,21,Huelva
2014,1,30.3571428571429,Mujeres,21,Huelva
2014,2,29.1161178509532,Mujeres,21,Huelva
2014,3,42.3357664233577,Mujeres,21,Huelva
2014,4,41.2698412698413,Mujeres,21,Huelva
2011,1,16.8803418803419,Mujeres,22,Huesca
2011,2,15.9420289855072,Mujeres,22,Huesca
2011,3,13.1799163179916,Mujeres,22,Huesca
2011,4,15.4811715481172,Mujeres,22,Huesca
2012,1,15.9183673469388,Mujeres,22,Huesca
2012,2,15.866388308977,Mujeres,22,Huesca
2012,3,14.4050104384134,Mujeres,22,Huesca
2012,4,16.4904862579281,Mujeres,22,Huesca
2013,1,17.4468085106383,Mujeres,22,Huesca
2013,2,22.2698072805139,Mujeres,22,Huesca
2013,3,13.3786848072562,Mujeres,22,Huesca
2013,4,20.1754385964912,Mujeres,22,Huesca
2014,1,21.8142548596112,Mujeres,22,Huesca
2014,2,18.9189189189189,Mujeres,22,Huesca
2014,3,15.0684931506849,Mujeres,22,Huesca
2014,4,18.5654008438819,Mujeres,22,Huesca
2011,1,29.0247678018576,Mujeres,23,Jaén
2011,2,36.039768019884,Mujeres,23,Jaén
2011,3,37.8267973856209,Mujeres,23,Jaén
2011,4,35.5958958168903,Mujeres,23,Jaén
2012,1,36.9169960474308,Mujeres,23,Jaén
2012,2,38.7044534412956,Mujeres,23,Jaén
2012,3,41.6012558869702,Mujeres,23,Jaén
2012,4,40.1805869074492,Mujeres,23,Jaén
2013,1,43.0293896006029,Mujeres,23,Jaén
2013,2,41.8429003021148,Mujeres,23,Jaén
2013,3,45.0807635829662,Mujeres,23,Jaén
2013,4,43.1213017751479,Mujeres,23,Jaén
2014,1,34.2791411042945,Mujeres,23,Jaén
2014,2,41.0785091197462,Mujeres,23,Jaén
2014,3,41.5810276679842,Mujeres,23,Jaén
2014,4,40.5015197568389,Mujeres,23,Jaén
2011,1,18.6234817813765,Mujeres,24,León
2011,2,18.0376610505451,Mujeres,24,León
2011,3,16.4621676891616,Mujeres,24,León
2011,4,18.2095625635809,Mujeres,24,León
2012,1,20.9157127991675,Mujeres,24,León
2012,2,20.997920997921,Mujeres,24,León
2012,3,23.0452674897119,Mujeres,24,León
2012,4,25.7345491388045,Mujeres,24,León
2013,1,25.8349705304519,Mujeres,24,León
2013,2,26.0617760617761,Mujeres,24,León
2013,3,23.6526946107784,Mujeres,24,León
2013,4,23.2606438213915,Mujeres,24,León
2014,1,27.3279352226721,Mujeres,24,León
2014,2,26.4646464646465,Mujeres,24,León
2014,3,24.4126659856997,Mujeres,24,León
2014,4,23.8046795523906,Mujeres,24,León
2011,1,12.5391849529781,Mujeres,25,Lleida
2011,2,10.6490872210953,Mujeres,25,Lleida
2011,3,12.7234490010515,Mujeres,25,Lleida
2011,4,20.2453987730061,Mujeres,25,Lleida
2012,1,17.223382045929,Mujeres,25,Lleida
2012,2,17.9563492063492,Mujeres,25,Lleida
2012,3,13.8686131386861,Mujeres,25,Lleida
2012,4,17.6350662589195,Mujeres,25,Lleida
2013,1,17.6352705410822,Mujeres,25,Lleida
2013,2,18.1634712411705,Mujeres,25,Lleida
2013,3,14.1858141858142,Mujeres,25,Lleida
2013,4,16.78391959799,Mujeres,25,Lleida
2014,1,16.5226781857451,Mujeres,25,Lleida
2014,2,17.5564681724846,Mujeres,25,Lleida
2014,3,15.0943396226415,Mujeres,25,Lleida
2014,4,17.2448979591837,Mujeres,25,Lleida
2011,1,16.361071932299,Mujeres,26,"Rioja, La"
2011,2,16.5487977369166,Mujeres,26,"Rioja, La"
2011,3,18.6738836265223,Mujeres,26,"Rioja, La"
2011,4,19.9445983379501,Mujeres,26,"Rioja, La"
2012,1,22.7336122733612,Mujeres,26,"Rioja, La"
2012,2,25.0700280112045,Mujeres,26,"Rioja, La"
2012,3,22.6760563380282,Mujeres,26,"Rioja, La"
2012,4,19.1977077363897,Mujeres,26,"Rioja, La"
2013,1,20.1716738197425,Mujeres,26,"Rioja, La"
2013,2,20.8333333333333,Mujeres,26,"Rioja, La"
2013,3,20.1936376210235,Mujeres,26,"Rioja, La"
2013,4,22.8767123287671,Mujeres,26,"Rioja, La"
2014,1,22.7972027972028,Mujeres,26,"Rioja, La"
2014,2,20.3883495145631,Mujeres,26,"Rioja, La"
2014,3,20.2445652173913,Mujeres,26,"Rioja, La"
